"","names","scores","logfoldchanges","pvals","pvals_adj","logp","Celltype"
"1460","CHEMBL1173055|RUCAPARIB",-21.499996,-0.95283675,1.55700766037972e-102,1.37488835281184e-101,100.861732567089,"other"
"1451","CHEMBL744|RILUZOLE",-13.589101,-0.9080922,4.64757759167049e-42,2.3295030305791e-41,40.6327367202177,"other"
"811","CHEMBL2095222|OCRIPLASMIN",4.458554,-0.85184944,8.25144005277715e-06,1.9787276832444e-05,4.70361397022104,"other"
"1129","CHEMBL1201740|NILOTINIB HYDROCHLORIDE MONOHYDRATE",-3.5244148,-0.8417771,0.000424419199651885,0.000855836242661592,3.06760932610792,"other"
"1130","CHEMBL2105708|PONATINIB HYDROCHLORIDE",-3.5244148,-0.8417771,0.000424419199651885,0.000855836242661592,3.06760932610792,"other"
"1454","CHEMBL1089|PHENELZINE",-16.14582,-0.83713764,1.21521338266863e-58,6.84887542398032e-58,57.1643807332163,"other"
"1452","CHEMBL1523964|EPHEDRINE SULFATE",-14.50768,-0.82628566,1.08323330176371e-47,5.68581256676833e-47,46.2452074609593,"other"
"1384","CHEMBL1371770|PIRIBEDIL",-7.0940948,-0.7970279,1.30200735099013e-12,4.03127845635678e-12,11.3945572023723,"other"
"1296","CHEMBL1201569|BOTULINUM TOXIN TYPE B",-5.2393565,-0.79423004,1.61137440166632e-07,4.07171672156593e-07,6.3902224444582,"other"
"1333","CHEMBL1428|NIMODIPINE",-5.8427677,-0.7927057,5.13405278072291e-09,1.37394891702935e-08,7.86202941390288,"other"
"1273","CHEMBL661|ALPRAZOLAM",-4.859855,-0.7830594,1.17471534103914e-06,2.85905843202162e-06,5.54377696865557,"other"
"728","CHEMBL72|DESIPRAMINE",6.642622,-0.7594184,3.0815134072905e-11,9.1251595571823e-11,10.0397595329868,"other"
"1375","CHEMBL1201587|ALEMTUZUMAB",-6.4352994,-0.7218237,1.23230329531776e-10,3.59691391449551e-10,9.44406995609502,"other"
"1113","CHEMBL1200761|CHLOROTRIANISENE",-3.218108,-0.71659,0.00129039218036183,0.00251097794205651,2.60015710237478,"other"
"849","CHEMBL1479|DANAZOL",3.7580702,-0.6698367,0.000171228826769707,0.000361992835158775,3.44130002527292,"other"
"1413","CHEMBL1445|FLUOXYMESTERONE",-8.021803,-0.6648307,1.04203921372974e-15,3.52048054804275e-15,14.4533980509768,"other"
"838","CHEMBL707|DOXAZOSIN",3.8282778,-0.6204018,0.000129042983060986,0.000277119522886016,3.55733287738268,"other"
"1469","CHEMBL477772|PAZOPANIB",-24.66214,-0.6199139,2.7268603794671e-134,3.14617947555496e-133,132.502216506436,"other"
"1450","CHEMBL3301607|FILGOTINIB",-13.30102,-0.61126596,2.28332699621095e-40,1.11924205064769e-39,38.9510759814851,"other"
"1222","CHEMBL1200493|NAFTIFINE HYDROCHLORIDE",-3.925193,-0.596331,8.66601786787269e-05,0.00019464719655479,3.71075184691398,"other"
"1461","CHEMBL608533|MIDOSTAURIN",-22.37153,-0.59556067,7.45344870561994e-111,7.47177685817475e-110,109.126576106627,"other"
"1169","CHEMBL1292|CLOFAZIMINE",-3.727488,-0.5954611,0.000193397754709727,0.000407802506913786,3.38955010877986,"other"
"1124","CHEMBL553025|VINORELBINE",-3.3864005,-0.59537536,0.000708159424480106,0.00139915828132338,2.85413315268687,"other"
"1447","CHEMBL960|LEFLUNOMIDE",-13.017018,-0.57256246,9.79199736656658e-39,4.59716421470669e-38,37.3375099825957,"other"
"1401","CHEMBL1395|METHYLTESTOSTERONE",-7.4123697,-0.571403,1.24062166585665e-13,4.00337809325247e-13,12.3975733916438,"other"
"1298","CHEMBL296419|ASTEMIZOLE",-5.316851,-0.5503408,1.05578413841587e-07,2.67334161756235e-07,6.572945540629,"other"
"1434","CHEMBL108|CARBAMAZEPINE",-10.561176,-0.5482121,4.50974844038362e-26,1.78781923584738e-25,24.7476763942888,"other"
"799","CHEMBL1237135|MAPROTILINE HYDROCHLORIDE",4.8769097,-0.5351703,1.07760696946536e-06,2.62532534592855e-06,5.58081686856812,"other"
"1133","CHEMBL1201109|DESONIDE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1134","CHEMBL1201014|PREDNISOLONE SODIUM PHOSPHATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1135","CHEMBL1200909|PREDNISOLONE TEBUTATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1136","CHEMBL1200449|TRIAMCINOLONE DIACETATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1137","CHEMBL1200953|HYDROCORTISONE PROBUTATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1138","CHEMBL1200762|BETAMETHASONE SODIUM PHOSPHATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1139","CHEMBL1549|HYDROCORTISONE CYPIONATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1140","CHEMBL1200376|BETAMETHASONE BENZOATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1141","CHEMBL1200538|BETAMETHASONE ACETATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1142","CHEMBL1200989|ALCLOMETASONE DIPROPIONATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1143","CHEMBL1650|CORTISONE ACETATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1144","CHEMBL1200968|HYDROCORTISONE SODIUM PHOSPHATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1145","CHEMBL1200342|PARAMETHASONE ACETATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1146","CHEMBL2021430|DEXAMETHASONE SODIUM PHOSPHATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1147","CHEMBL1473|FLUTICASONE PROPIONATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1148","CHEMBL1201148|MEPREDNISONE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1149","CHEMBL1200635|HYDROCORTAMATE HYDROCHLORIDE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1150","CHEMBL1512|FLUNISOLIDE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1151","CHEMBL1200865|LOTEPREDNOL ETABONATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1152","CHEMBL2040682|CICLESONIDE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1153","CHEMBL2105842|CORTIVAZOL",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1154","CHEMBL1676|FLUTICASONE FUROATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1155","CHEMBL1201081|METHYLPREDNISOLONE SODIUM SUCCINATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1156","CHEMBL1200878|TRIAMCINOLONE HEXACETONIDE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1157","CHEMBL1201064|FLUOROMETHOLONE ACETATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1158","CHEMBL1497|BETAMETHASONE VALERATE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1159","CHEMBL1200774|FLUPREDNISOLONE",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1160","CHEMBL1889436|OUABAIN",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
"1161","CHEMBL1201891|DEFLAZACORT",-3.5960677,-0.52187645,0.000323063711139001,0.000655235354432833,3.18360267745513,"other"
