"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","FoldEnrichment"
"GO:0071674","GO:0071674","mononuclear cell migration","24/494","196/16910",3.11928145030028e-09,1.31384134686648e-05,1.12819484876124e-05,"CKLF/CX3CR1/ALOX5/CORO1A/PADI2/CCR2/WNT5A/PDGFB/NEDD9/SPN/NLRP12/TNF/SPNS2/ADAM8/PTK2/CCR6/JAM2/FUT7/CCL3L1/TRPM4/ASB2/CCL17/CCL22/ITGB7",24,4.19152276295133
"GO:0072676","GO:0072676","lymphocyte migration","16/494","117/16910",2.94230130412215e-07,0.000433950642628773,0.000372633180404974,"CKLF/CORO1A/PADI2/CCR2/WNT5A/NEDD9/SPN/SPNS2/ADAM8/CCR6/JAM2/FUT7/CCL3L1/CCL17/CCL22/ITGB7",16,4.68113083497699
"GO:0050900","GO:0050900","leukocyte migration","31/494","382/16910",3.09081654293998e-07,0.000433950642628773,0.000372633180404974,"CKLF/CX3CR1/ALOX5/CORO1A/PADI2/CCR2/WNT5A/P2RY12/IL1B/MMP2/PDGFB/NEDD9/SPN/NLRP12/TNF/SPNS2/ADAM8/PTK2/MCOLN2/GPR18/CCR6/JAM2/FUT7/CCL3L1/TRPM4/ST3GAL4/ASB2/CCL17/ITGA6/CCL22/ITGB7",31,2.7778896496174
"GO:0046456","GO:0046456","icosanoid biosynthetic process","11/494","55/16910",4.42917343513638e-07,0.00046639196271986,0.000400490524292858,"ALOX5AP/LTC4S/ALOX5/PLA2G4A/DAGLB/PTGS1/IL1B/HPGDS/PTGS2/GGT7/AKR1C3",11,6.84615384615385
"GO:0045785","GO:0045785","positive regulation of cell adhesion","34/494","470/16910",1.19068094053219e-06,0.00100302962430432,0.000861300991930232,"ALOX5/RHOH/CORO1A/CCR2/ADGRG1/CD86/FN1/RUNX1/WNT5A/P2RY12/CARD11/IL1B/PDGFB/CD1D/RASAL3/PTPN22/NEDD9/CASS4/NR4A3/NFAT5/FLOT2/PDPN/KIF26B/TNF/RUNX3/CYTH3/ADAM8/EFNB1/ANK3/FUT7/IBSP/DMP1/ST3GAL4/EGR3",34,2.47626841243863
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","30/494","395/16910",1.91192656338561e-06,0.00127343160242184,0.00109349502322224,"CX3CR1/ALOX5/RHOH/CORO1A/OLR1/CCR2/SEMA4D/CD86/RUNX1/CARD11/IL1B/CD1D/RASAL3/PTPN22/NR4A3/NFAT5/SPN/FLOT2/TMEM131L/SOCS6/TNF/RUNX3/ADAM8/EFNB1/JAM2/FUT7/ST3GAL4/EGR3/TSPAN32/ITGB7",30,2.59980525803311
"GO:0043491","GO:0043491","protein kinase B signaling","19/494","185/16910",2.11633932026422e-06,0.00127343160242184,0.00109349502322224,"CX3CR1/P2RY12/AXL/IL1B/TNFAIP8L3/SESN3/CASS4/OSM/HBEGF/TNF/ADAM8/PTK2/EPHA2/PIK3C2B/BANK1/SESN2/NKX3-1/GPER1/AKR1C3",19,3.51559251559252
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","25/494","313/16910",5.76043856101933e-06,0.00279796971612034,0.00240261507087257,"ALOX5/RHOH/CORO1A/CCR2/CD86/RUNX1/WNT5A/CARD11/IL1B/CD1D/RASAL3/PTPN22/NR4A3/NFAT5/FLOT2/PDPN/KIF26B/TNF/RUNX3/ADAM8/EFNB1/ANK3/FUT7/ST3GAL4/EGR3",25,2.73408699926272
"GO:0043087","GO:0043087","regulation of GTPase activity","27/494","355/16910",6.09462700377456e-06,0.00279796971612034,0.00240261507087257,"RGS1/SEMA4D/BIN1/WNT5A/TAX1BP3/SH3BP4/RASAL3/NEDD9/ARHGAP9/ARHGAP6/TBC1D4/PLXNA2/RGS16/PTK2/GARNL3/CCDC125/CCL3L1/EPHA2/CCL17/ARAP3/TBC1D30/NET1/ITGA6/CCL22/EPHB3/FGD5/ADRB1",27,2.60346695557963
"GO:0061756","GO:0061756","leukocyte adhesion to vascular endothelial cell","9/494","47/16910",7.30713838492967e-06,0.00279796971612034,0.00240261507087257,"CX3CR1/ALOX5/NFAT5/SPN/TNF/JAM2/FUT7/ST3GAL4/ITGB7",9,6.55482815057283
"GO:0140353","GO:0140353","lipid export from cell","9/494","47/16910",7.30713838492967e-06,0.00279796971612034,0.00240261507087257,"PLA2G4A/ABCC4/IL1B/GHRL/KCNQ1/PTGS2/MAP2K6/RETN/NKX3-1",9,6.55482815057283
"GO:0002675","GO:0002675","positive regulation of acute inflammatory response","7/494","27/16910",9.30073882473961e-06,0.00306831759673447,0.00263476264866787,"ALOX5AP/C3/IL1B/OSM/TNF/PTGS2/ADAM8",7,8.87464387464387
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","32/494","472/16910",9.47011603930391e-06,0.00306831759673447,0.00263476264866787,"ALOX5/RHOH/CORO1A/CCR2/CD86/RUNX1/WNT5A/CARD11/IL1B/CD1D/RASAL3/PTPN22/NR4A3/NFAT5/SPN/FLOT2/PDPN/KIF26B/TMEM131L/SOCS6/TNF/RUNX3/ADAM8/PTK2/EFNB1/ANK3/FUT7/ST3GAL4/NOTCH4/EGR3/EPHB3/TSPAN32",32,2.32073011734029
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","27/494","366/16910",1.0639452655831e-05,0.00320095532759715,0.00274865859589739,"MEF2C/RHOH/CORO1A/SH3KBP1/INPP5D/BCL2/CCR2/PLA2G4A/CD86/RUNX1/WNT5A/CARD11/AXL/IL1B/CD1D/RASAL3/PTPN22/NFATC2/NR4A3/FLOT2/CD226/TNF/RUNX3/ADAM8/EFNB1/EGR3/SHLD3",27,2.52522068095839
"GO:0014066","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","13/494","106/16910",1.28897603009044e-05,0.00361944469249396,0.00310801518553737,"SEMA4D/FN1/UNC5B/PDGFB/OSM/TNF/PTK2/PIP5K1B/PPP1R16B/NKX3-1/FBXL2/PTPN13/GPER1",13,4.19811320754717
"GO:0001516","GO:0001516","prostaglandin biosynthetic process","7/494","29/16910",1.55391556171304e-05,0.00385005432113842,0.0033060395480161,"PLA2G4A/DAGLB/PTGS1/IL1B/HPGDS/PTGS2/AKR1C3",7,8.26259946949602
"GO:0046457","GO:0046457","prostanoid biosynthetic process","7/494","29/16910",1.55391556171304e-05,0.00385005432113842,0.0033060395480161,"PLA2G4A/DAGLB/PTGS1/IL1B/HPGDS/PTGS2/AKR1C3",7,8.26259946949602
