"","names","scores","logfoldchanges","pvals","pvals_adj","logp","Celltype"
"2446","CHEMBL4298211|PEGCETACOPLAN",-32.67094,-3.467404,4.04097126729084e-234,9.8842157197934e-231,230.005057784831,"SAMac2"
"2324","CHEMBL1771|CLOPIDOGREL",-11.181628,-2.2458944,5.01610192093376e-29,4.51080341860441e-28,27.3457460990995,"SAMac2"
"2325","CHEMBL1083385|CLOPIDOGREL BISULFATE",-11.181628,-2.2458944,5.01610192093376e-29,4.51080341860441e-28,27.3457460990995,"SAMac2"
"2326","CHEMBL1201773|PRASUGREL HYDROCHLORIDE",-11.181628,-2.2458944,5.01610192093376e-29,4.51080341860441e-28,27.3457460990995,"SAMac2"
"2327","CHEMBL334966|CANGRELOR",-11.181628,-2.2458944,5.01610192093376e-29,4.51080341860441e-28,27.3457460990995,"SAMac2"
"2328","CHEMBL398435|TICAGRELOR",-11.181628,-2.2458944,5.01610192093376e-29,4.51080341860441e-28,27.3457460990995,"SAMac2"
"2329","CHEMBL1097279|CANGRELOR TETRASODIUM",-11.181628,-2.1758058,5.01610192093376e-29,4.51080341860441e-28,27.3457460990995,"SAMac2"
"2385","CHEMBL277474|ANTIPYRINE",-15.1456175,-1.9092342,8.0989873362305e-52,1.92331291499222e-50,49.7159500521116,"SAMac2"
"2386","CHEMBL94081|ALCLOFENAC",-15.1456175,-1.9092342,8.0989873362305e-52,1.92331291499222e-50,49.7159500521116,"SAMac2"
"2377","CHEMBL1201830|RILONACEPT",-13.521239,-1.704185,1.17185314658797e-41,2.36888660872246e-40,39.6254557271138,"SAMac2"
"2378","CHEMBL1201834|CANAKINUMAB",-13.521239,-1.704185,1.17185314658797e-41,2.36888660872246e-40,39.6254557271138,"SAMac2"
"2412","CHEMBL3989410|INDOMETHACIN SODIUM",-17.975079,-1.6998812,3.05432160155468e-72,1.35834011589141e-70,69.8669914730889,"SAMac2"
"2413","CHEMBL188952|PIRPROFEN",-17.975079,-1.6998812,3.05432160155468e-72,1.35834011589141e-70,69.8669914730889,"SAMac2"
"2414","CHEMBL2108222|ALOXIPRIN",-17.975079,-1.6998812,3.05432160155468e-72,1.35834011589141e-70,69.8669914730889,"SAMac2"
"2415","CHEMBL3989803|DIPYRONE",-17.975079,-1.6998812,3.05432160155468e-72,1.35834011589141e-70,69.8669914730889,"SAMac2"
"2416","CHEMBL1201180|DICLOFENAC EPOLAMINE",-17.975079,-1.6998812,3.05432160155468e-72,1.35834011589141e-70,69.8669914730889,"SAMac2"
"2417","CHEMBL3989408|IBUPROFEN SODIUM",-17.975079,-1.6998812,3.05432160155468e-72,1.35834011589141e-70,69.8669914730889,"SAMac2"
"2418","CHEMBL956|SUPROFEN",-17.975079,-1.6998812,3.05432160155468e-72,1.35834011589141e-70,69.8669914730889,"SAMac2"
